"admission_date","cases"
2014-06-30,12
2014-07-01,64
2014-07-02,73
2014-07-03,71
2014-07-04,92
2014-07-05,123
2014-07-06,97
2014-07-07,68
2014-07-08,63
2014-07-09,41
2014-07-10,24
2014-07-11,24
2014-07-12,23
2014-07-13,13
2014-07-14,9
2014-07-15,10
2014-07-16,10
2014-07-17,8
2014-07-18,7
2014-07-19,12
2014-07-20,9
2014-07-21,4
2014-07-22,3
2014-07-23,3
2014-07-24,4
2014-07-25,4
2014-07-26,3
2014-07-27,1
2014-07-29,3
2014-07-31,2
2014-08-01,4
2014-08-02,3
2014-08-03,1
2014-08-04,3
2014-08-05,1
2014-08-07,8
2014-08-08,7
2014-08-09,1
2014-08-10,3
2014-08-12,4
2014-08-13,1
2014-08-15,2
2014-08-16,4
